itemID,name,ingredients
0,hamburger,"bun, burgerPatty"
1,cheeseburger,"bun, burgerPatty, americanCheese"
2,black bean hamburger,"bun, beanBurgerPatty"
3,black bean cheeseburger,"bun, beanBurgerPatty, americanCheese"
4,hamburger w/ bacon,"bun, burgerPatty, bacon, bacon"
5,cheeseburger w/ bacon,"bun, burgerPatty, americanCheese, bacon, bacon"
6,black bean hamburger w/ bacon,"bun, beanBurgerPatty, bacon, bacon"
7,black bean cheeseburger w/ bacon,"bun, beanBurgerPatty, americanCheese, bacon, bacon"
8,double hamburger,"bun, burgerPatty, burgerPatty"
9,double cheeseburger,"bun, burgerPatty, burgerPatty, americanCheese, americanCheese"
10,double black bean hamburger,"bun, beanBurgerPatty, beanBurgerPatty"
11,double black bean cheeseburger,"bun, beanBurgerPatty, beanBurgerPatty, americanCheese, americanCheese"
12,double hamburger w/ bacon,"bun, burgerPatty, burgerPatty, bacon, bacon"
13,double cheeseburger w/ bacon,"bun, burgerPatty, burgerPatty, americanCheese, americanCheese, bacon, bacon"
14,double black bean hamburger w/ bacon,"bun, beanBurgerPatty, beanBurgerPatty, bacon, bacon"
15,double black bean cheeseburger w/ bacon,"bun, beanBurgerPatty, beanBurgerPatty, americanCheese, americanCheese, bacon, bacon"
16,gig em patty melt,"breadSlice, breadSlice, burgerPatty, americanCheese, choppedOnion"
17,grilled chicken sandwich,"bun, chickenPatty"
18,spicy grilled chicken sandwich,"bun, spicyChickenPatty"
19,aggie chicken club,"bun, chickenPatty, americanCheese, avocado, bacon, bacon"
20,chicken philly cheese steak,"subRoll, choppedChicken, greenPepper, redPeper, choppedOnion, provoloneCheese"
21,chicken caesar salad,salad
22,fries,"potato, potato, potato"
23,fountain drink,drinkCup
24,bottled water,bottledWater
25,vanilla ice cream,"iceCreamCup, vanillaIceCream, vanillaIceCream"
26,chocolate ice cream,"iceCreamCup, chocolateIceCream, chocolateIceCream"
27,strawberry ice cream,"iceCreamCup, strawberryIceCream, strawberryIceCream"
28,oreo cookie ice cream,"iceCreamCup, oreoIceCream, oreoIceCream"
29,vanilla shake,"shakeCup, shakeLid, vanillaIceCream, vanillaIceCream, milk"
30,chocolate shake,"shakeCup, shakeLid, chocolateIceCream, chocolateIceCream, milk"
31,strawberry shake,"shakeCup, shakeLid, strawberryIceCream, strawberryIceCream, milk"
32,oreo cookie shake,"shakeCup, shakeLid, oreoIceCream, oreoIceCream, milk"
33,rootbeer float,"shakeCup, shakeLid, rootBeer, vanillaIceCream"
34,chocolate chip cookie sunday,"chocolateChipCookie, chocolateChipCookie, vanillaIceCream"
35,sugar cookie sunday,"sugarCookie, sugarCookie, vanillaIceCream"
36,three tender basket,"chickenFinger, chickenFinger, chickenFinger, drinkCup, potato, potato, potato"
37,hamburger combo,"bun, burgerPatty, drinkCup, potato, potato, potato"
38,cheeseburger combo,"bun, burgerPatty, americanCheese, drinkCup, potato, potato, potato"
39,black bean hamburger combo,"bun, beanBurgerPatty, drinkCup, potato, potato, potato"
40,black bean cheeseburger combo,"bun, beanBurgerPatty, americanCheese, drinkCup, potato, potato, potato"
41,hamburger w/ bacon combo,"bun, burgerPatty, bacon, bacon, drinkCup, potato, potato, potato"
42,cheeseburger w/ bacon combo,"bun, burgerPatty, americanCheese, bacon, bacon, drinkCup, potato, potato, potato"
43,black bean hamburger w/ bacon combo,"bun, beanBurgerPatty, bacon, bacon, drinkCup, potato, potato, potato"
44,black bean cheeseburger w/ bacon combo,"bun, beanBurgerPatty, americanCheese, bacon, bacon, drinkCup, potato, potato, potato"
45,double hamburger combo,"bun, burgerPatty, burgerPatty, drinkCup, potato, potato, potato"
46,double cheeseburger combo,"bun, burgerPatty, burgerPatty, americanCheese, americanCheese, drinkCup, potato, potato, potato"
47,double black bean hamburger combo,"bun, beanBurgerPatty, beanBurgerPatty, drinkCup, potato, potato, potato"
48,double black bean cheeseburger combo,"bun, beanBurgerPatty, beanBurgerPatty, americanCheese, americanCheese, drinkCup, potato, potato, potato"
49,double hamburger w/ bacon combo,"bun, burgerPatty, burgerPatty, bacon, bacon, drinkCup, potato, potato, potato"
50,double cheeseburger w/ bacon combo,"bun, burgerPatty, burgerPatty, americanCheese, americanCheese, bacon, bacon, drinkCup, potato, potato, potato"
51,double black bean hamburger w/ bacon combo,"bun, beanBurgerPatty, beanBurgerPatty, bacon, bacon, drinkCup, potato, potato, potato"
52,double black bean cheeseburger w/ bacon combo,"bun, beanBurgerPatty, beanBurgerPatty, americanCheese, americanCheese, bacon, bacon, drinkCup, potato, potato, potato"
53,gig em patty melt combo,"breadSlice, breadSlice, burgerPatty, americanCheese, choppedOnion, drinkCup, potato, potato, potato"
54,grilled chicken sandwich combo,"bun, chickenPatty, drinkCup, potato, potato, potato"
55,spicy grilled chicken sandwich combo,"bun, spicyChickenPatty, drinkCup, potato, potato, potato"
56,aggie chicken club combo,"bun, chickenPatty, americanCheese, avocado, bacon, bacon, drinkCup, potato, potato, potato"
57,chicken philly cheese steak combo,"subRoll, choppedChicken, greenPepper, redPeper, choppedOnion, provoloneCheese, drinkCup, potato, potato, potato"
