transsactionID,ingredient,qty,orderID,timestamp
0,drinkCup,2,0,2022-01-01 10:06:46
1,subroll,1,0,2022-01-01 10:06:46
2,choppedChicken,1,0,2022-01-01 10:06:46
3,greenPepper,1,0,2022-01-01 10:06:46
4,redPepper,1,0,2022-01-01 10:06:46
5,choppedOnion,2,0,2022-01-01 10:06:46
6,provoloneCheese,1,0,2022-01-01 10:06:46
7,iceCreamCup,3,0,2022-01-01 10:06:46
8,vanillaIceCream,4,0,2022-01-01 10:06:46
9,breadSlice,2,0,2022-01-01 10:06:46
10,burgerPatty,1,0,2022-01-01 10:06:46
11,americanCheese,2,0,2022-01-01 10:06:46
12,potato,3,0,2022-01-01 10:06:46
13,bun,1,0,2022-01-01 10:06:46
14,chickenPatty,1,0,2022-01-01 10:06:46
15,avocado,1,0,2022-01-01 10:06:46
16,bacon,2,0,2022-01-01 10:06:46
17,oreoIceCream,2,0,2022-01-01 10:06:46
0,drinkCup,1,1,2022-01-01 10:07:39
1,shakeCup,1,1,2022-01-01 10:07:39
2,shakeLid,1,1,2022-01-01 10:07:39
3,oreoIceCream,2,1,2022-01-01 10:07:39
4,milk,1,1,2022-01-01 10:07:39
0,iceCreamCup,2,2,2022-01-01 10:25:45
1,vanillaIceCream,5,2,2022-01-01 10:25:45
2,shakeCup,1,2,2022-01-01 10:25:45
3,shakeLid,1,2,2022-01-01 10:25:45
4,oreoIceCream,2,2,2022-01-01 10:25:45
5,milk,1,2,2022-01-01 10:25:45
6,bun,5,2,2022-01-01 10:25:45
7,burgerPatty,4,2,2022-01-01 10:25:45
8,chickenPatty,2,2,2022-01-01 10:25:45
9,americanCheese,4,2,2022-01-01 10:25:45
10,avocado,1,2,2022-01-01 10:25:45
11,bacon,6,2,2022-01-01 10:25:45
12,drinkCup,1,2,2022-01-01 10:25:45
13,potato,3,2,2022-01-01 10:25:45
14,sugarCookie,2,2,2022-01-01 10:25:45
15,beanBurgerPatty,1,2,2022-01-01 10:25:45
0,bun,7,3,2022-01-01 10:29:40
1,spicyChickenPatty,1,3,2022-01-01 10:29:40
2,beanburgerPatty,1,3,2022-01-01 10:29:40
3,bacon,6,3,2022-01-01 10:29:40
4,drinkCup,4,3,2022-01-01 10:29:40
5,potato,9,3,2022-01-01 10:29:40
6,beanBurgerPatty,4,3,2022-01-01 10:29:40
7,chickenFinger,3,3,2022-01-01 10:29:40
8,bottledWater,2,3,2022-01-01 10:29:40
9,chickenPatty,1,3,2022-01-01 10:29:40
10,shakeCup,1,3,2022-01-01 10:29:40
11,shakeLid,1,3,2022-01-01 10:29:40
12,strawberryIceCream,2,3,2022-01-01 10:29:40
13,milk,1,3,2022-01-01 10:29:40
14,burgerPatty,1,3,2022-01-01 10:29:40
15,iceCreamCup,1,3,2022-01-01 10:29:40
16,vanillaIceCream,2,3,2022-01-01 10:29:40
17,americanCheese,1,3,2022-01-01 10:29:40
0,bun,2,4,2022-01-01 10:42:01
1,beanburgerPatty,2,4,2022-01-01 10:42:01
2,americanCheese,4,4,2022-01-01 10:42:01
3,drinkCup,2,4,2022-01-01 10:42:01
4,potato,6,4,2022-01-01 10:42:01
5,salad,1,4,2022-01-01 10:42:01
6,beanBurgerPatty,2,4,2022-01-01 10:42:01
7,chickenFinger,3,4,2022-01-01 10:42:01
8,shakeCup,3,4,2022-01-01 10:42:01
9,shakeLid,3,4,2022-01-01 10:42:01
10,rootBeer,1,4,2022-01-01 10:42:01
11,vanillaIceCream,1,4,2022-01-01 10:42:01
12,oreoIceCream,4,4,2022-01-01 10:42:01
13,milk,2,4,2022-01-01 10:42:01
14,iceCreamCup,3,4,2022-01-01 10:42:01
15,chocolateIceCream,4,4,2022-01-01 10:42:01
16,strawberryIceCream,2,4,2022-01-01 10:42:01
17,breadSlice,4,4,2022-01-01 10:42:01
18,burgerPatty,2,4,2022-01-01 10:42:01
19,choppedOnion,2,4,2022-01-01 10:42:01
0,breadSlice,2,5,2022-01-01 10:58:10
1,burgerPatty,6,5,2022-01-01 10:58:10
2,americanCheese,3,5,2022-01-01 10:58:10
3,choppedOnion,1,5,2022-01-01 10:58:10
4,bun,7,5,2022-01-01 10:58:10
5,bacon,2,5,2022-01-01 10:58:10
6,drinkCup,6,5,2022-01-01 10:58:10
7,potato,21,5,2022-01-01 10:58:10
8,chickenPatty,1,5,2022-01-01 10:58:10
9,beanburgerPatty,1,5,2022-01-01 10:58:10
10,spicyChickenPatty,2,5,2022-01-01 10:58:10
0,bun,8,6,2022-01-01 11:05:50
1,beanBurgerPatty,5,6,2022-01-01 11:05:50
2,burgerPatty,6,6,2022-01-01 11:05:50
3,americanCheese,4,6,2022-01-01 11:05:50
4,bacon,6,6,2022-01-01 11:05:50
5,chickenFinger,6,6,2022-01-01 11:05:50
6,drinkCup,4,6,2022-01-01 11:05:50
7,potato,12,6,2022-01-01 11:05:50
8,subroll,1,6,2022-01-01 11:05:50
9,choppedChicken,1,6,2022-01-01 11:05:50
10,greenPepper,1,6,2022-01-01 11:05:50
11,redPepper,1,6,2022-01-01 11:05:50
12,choppedOnion,1,6,2022-01-01 11:05:50
13,provoloneCheese,1,6,2022-01-01 11:05:50
14,beanburgerPatty,2,6,2022-01-01 11:05:50
15,iceCreamCup,1,6,2022-01-01 11:05:50
16,chocolateIceCream,2,6,2022-01-01 11:05:50
0,bun,6,7,2022-01-01 11:16:49
1,burgerPatty,3,7,2022-01-01 11:16:49
2,americanCheese,6,7,2022-01-01 11:16:49
3,bacon,6,7,2022-01-01 11:16:49
4,subroll,1,7,2022-01-01 11:16:49
5,choppedChicken,1,7,2022-01-01 11:16:49
6,greenPepper,1,7,2022-01-01 11:16:49
7,redPepper,1,7,2022-01-01 11:16:49
8,choppedOnion,1,7,2022-01-01 11:16:49
9,provoloneCheese,1,7,2022-01-01 11:16:49
10,drinkCup,6,7,2022-01-01 11:16:49
11,potato,15,7,2022-01-01 11:16:49
12,shakeCup,1,7,2022-01-01 11:16:49
13,shakeLid,1,7,2022-01-01 11:16:49
14,chocolateIceCream,2,7,2022-01-01 11:16:49
15,milk,1,7,2022-01-01 11:16:49
16,beanBurgerPatty,2,7,2022-01-01 11:16:49
17,beanburgerPatty,2,7,2022-01-01 11:16:49
18,chocolateChipCookie,2,7,2022-01-01 11:16:49
19,vanillaIceCream,1,7,2022-01-01 11:16:49
20,chickenFinger,3,7,2022-01-01 11:16:49
21,iceCreamCup,1,7,2022-01-01 11:16:49
22,strawberryIceCream,2,7,2022-01-01 11:16:49
0,iceCreamCup,3,8,2022-01-01 11:20:02
1,oreoIceCream,6,8,2022-01-01 11:20:02
2,bun,4,8,2022-01-01 11:20:02
3,beanBurgerPatty,4,8,2022-01-01 11:20:02
4,americanCheese,4,8,2022-01-01 11:20:02
5,bacon,4,8,2022-01-01 11:20:02
6,chocolateIceCream,2,8,2022-01-01 11:20:02
7,beanburgerPatty,2,8,2022-01-01 11:20:02
8,drinkCup,1,8,2022-01-01 11:20:02
9,potato,3,8,2022-01-01 11:20:02
10,bottledWater,1,8,2022-01-01 11:20:02
11,shakeCup,1,8,2022-01-01 11:20:02
12,shakeLid,1,8,2022-01-01 11:20:02
13,milk,1,8,2022-01-01 11:20:02
0,chocolateChipCookie,2,9,2022-01-01 11:47:38
1,vanillaIceCream,4,9,2022-01-01 11:47:38
2,shakeCup,2,9,2022-01-01 11:47:38
3,shakeLid,2,9,2022-01-01 11:47:38
4,oreoIceCream,2,9,2022-01-01 11:47:38
5,milk,2,9,2022-01-01 11:47:38
6,sugarCookie,2,9,2022-01-01 11:47:38
7,bun,7,9,2022-01-01 11:47:38
8,beanburgerPatty,2,9,2022-01-01 11:47:38
9,americanCheese,6,9,2022-01-01 11:47:38
10,drinkCup,4,9,2022-01-01 11:47:38
11,potato,12,9,2022-01-01 11:47:38
12,iceCreamCup,1,9,2022-01-01 11:47:38
13,subroll,1,9,2022-01-01 11:47:38
14,choppedChicken,1,9,2022-01-01 11:47:38
15,greenPepper,1,9,2022-01-01 11:47:38
16,redPepper,1,9,2022-01-01 11:47:38
17,choppedOnion,1,9,2022-01-01 11:47:38
18,provoloneCheese,1,9,2022-01-01 11:47:38
19,burgerPatty,6,9,2022-01-01 11:47:38
20,bacon,8,9,2022-01-01 11:47:38
21,strawberryIceCream,2,9,2022-01-01 11:47:38
22,salad,1,9,2022-01-01 11:47:38
0,shakeCup,3,10,2022-01-01 11:48:08
1,shakeLid,3,10,2022-01-01 11:48:08
2,rootBeer,2,10,2022-01-01 11:48:08
3,vanillaIceCream,2,10,2022-01-01 11:48:08
4,strawberryIceCream,2,10,2022-01-01 11:48:08
5,milk,1,10,2022-01-01 11:48:08
6,bun,11,10,2022-01-01 11:48:08
7,beanBurgerPatty,4,10,2022-01-01 11:48:08
8,americanCheese,13,10,2022-01-01 11:48:08
9,chickenPatty,2,10,2022-01-01 11:48:08
10,beanburgerPatty,6,10,2022-01-01 11:48:08
11,drinkCup,7,10,2022-01-01 11:48:08
12,potato,21,10,2022-01-01 11:48:08
13,bacon,8,10,2022-01-01 11:48:08
14,burgerPatty,4,10,2022-01-01 11:48:08
15,avocado,1,10,2022-01-01 11:48:08
0,bun,6,11,2022-01-01 11:52:08
1,burgerPatty,7,11,2022-01-01 11:52:08
2,bacon,6,11,2022-01-01 11:52:08
3,iceCreamCup,2,11,2022-01-01 11:52:08
4,strawberryIceCream,2,11,2022-01-01 11:52:08
5,oreoIceCream,2,11,2022-01-01 11:52:08
6,beanburgerPatty,2,11,2022-01-01 11:52:08
7,americanCheese,4,11,2022-01-01 11:52:08
8,drinkCup,2,11,2022-01-01 11:52:08
9,potato,6,11,2022-01-01 11:52:08
10,beanBurgerPatty,2,11,2022-01-01 11:52:08
11,shakeCup,1,11,2022-01-01 11:52:08
12,shakeLid,1,11,2022-01-01 11:52:08
13,vanillaIceCream,2,11,2022-01-01 11:52:08
14,milk,1,11,2022-01-01 11:52:08
15,bottledWater,1,11,2022-01-01 11:52:08
16,subroll,1,11,2022-01-01 11:52:08
17,choppedChicken,1,11,2022-01-01 11:52:08
18,greenPepper,1,11,2022-01-01 11:52:08
19,redPepper,1,11,2022-01-01 11:52:08
20,choppedOnion,1,11,2022-01-01 11:52:08
21,provoloneCheese,1,11,2022-01-01 11:52:08
0,bun,7,12,2022-01-01 11:57:01
1,beanBurgerPatty,4,12,2022-01-01 11:57:01
2,americanCheese,6,12,2022-01-01 11:57:01
3,bacon,4,12,2022-01-01 11:57:01
4,burgerPatty,3,12,2022-01-01 11:57:01
5,drinkCup,2,12,2022-01-01 11:57:01
6,potato,6,12,2022-01-01 11:57:01
7,bottledWater,1,12,2022-01-01 11:57:01
8,subroll,1,12,2022-01-01 11:57:01
9,choppedChicken,1,12,2022-01-01 11:57:01
10,greenPepper,1,12,2022-01-01 11:57:01
11,redPepper,1,12,2022-01-01 11:57:01
12,choppedOnion,1,12,2022-01-01 11:57:01
13,provoloneCheese,1,12,2022-01-01 11:57:01
0,bun,7,13,2022-01-01 12:06:50
1,beanBurgerPatty,2,13,2022-01-01 12:06:50
2,shakeCup,1,13,2022-01-01 12:06:50
3,shakeLid,1,13,2022-01-01 12:06:50
4,vanillaIceCream,2,13,2022-01-01 12:06:50
5,milk,1,13,2022-01-01 12:06:50
6,burgerPatty,6,13,2022-01-01 12:06:50
7,americanCheese,6,13,2022-01-01 12:06:50
8,bacon,8,13,2022-01-01 12:06:50
9,drinkCup,5,13,2022-01-01 12:06:50
10,potato,15,13,2022-01-01 12:06:50
